Organization,Postal Code,Latitude,Longitude,Response,CleanedResponse,Sentiment,Score,Cluster,ClusterText,X,Y
Inspired Word Cat(IWC)/ Fat Cat Festival (FC),V1Y 9R7,49.897295,-119.49929499999999,"They could provide audits on current venue space for accessibility, building <br>venue spaces that are accessible by bus but perhaps not <br>in the downtown core, subsidies and provide low income customers <br>",could provide audit current venue space inaccessibility building venue space accessible bus perhaps downtown core subsidy provide low income customer,Negative,-0.3919,2,Venues need to be more accessible and subsidized for artists,1.2225789,0.5294869
Federation of Canadian Artists Central Okanagan chapter,V1Y 2L5,49.890702000000005,-119.488339,"The way it has drawn artists to the region, that forces <br>up all to be better, provides people with opportunities to <br>engage with artists, techniques, this place has pushed her further <br>than she can believe, synergy ",way draw artist region force better provide people opportunity engage artist technique place push believe energy,Positive,0.7845,3,Develop smaller theatres and cultural facilities in the city,1.5570356,-0.80664015
Federation of Canadian Artists Central Okanagan chapter,V1Y 2L5,49.890702000000005,-119.488339,Put OPUS in any new building ,opus new building,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.8959307,0.2172692
Federation of Canadian Artists Central Okanagan chapter,V1Y 2L5,49.890702000000005,-119.488339,"A nice spot to be together and rub elbows - tourist <br>draw, art fair? top quality paintings ",nice spot together rub elbow   tourist draw art fair top quality painting,Positive,0.7096,3,Develop smaller theatres and cultural facilities in the city,1.3177464,0.003812685
Federation of Canadian Artists Central Okanagan chapter,V1Y 2L5,49.890702000000005,-119.488339,"If you build it they will come, provide facilities that we <br>could rent that were cost effective - art mall? ",build come provide facility could rent cost effective   art mall,Positive,0.4767,1,Facilities should be more affordable,-0.15370004,0.10164418
Federation of Canadian Artists Central Okanagan chapter,V1Y 2L5,49.890702000000005,-119.488339,"We spend 1,500 and 2,000 per year on rent - their <br>money comes from dues and commissions. ",spend     per year rent   money come due commission,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.9109253,0.6844423
Federation of Canadian Artists Central Okanagan chapter,V1Y 2L5,49.890702000000005,-119.488339,"Split commission, they take 20-30% ",split commission take,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1083095,0.35776657
Federation of Canadian Artists Central Okanagan chapter,V1Y 2L5,49.890702000000005,-119.488339,"There are wine tours, could be really nice if they could <br>be wine and studio tours. Art market in the park <br>in the summer ",wine hour could really nice could wine studio hour   art market park summer,Positive,0.4754,2,Venues need to be more accessible and subsidized for artists,0.43054345,1.6456846
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"We produce two early music concerts per year. We also do <br>music editing, maintain a website, provide free information. ",produce two early music concert per year   also music editing maintain webster provide free information,Positive,0.5106,2,Venues need to be more accessible and subsidized for artists,0.8635862,0.8852845
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"We perform, inform, teach, make and restore period instruments 1500-1923. We <br>occasionally employ guest artists. We sometime lecture and display instruments. <br>",perform inform teach make restore period instrument    occasionally employ guest artist   sometime lecture display instrument,Positive,0.296,2,Venues need to be more accessible and subsidized for artists,1.4693139,0.6773456
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,Our audience is around 250 per year. ,audience around per year,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.8498617,0.38358745
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,One facility for performance Kelowna Forum. We do about 30 free <br>tours of our instrument collection in a year. ,one facility performance kelowna forum   free hour instrument collection year,Positive,0.5106,2,Venues need to be more accessible and subsidized for artists,0.29916307,0.93872076
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"Twice a year, about 4 hours each. All rehearsal is done <br>at the home studio. ",twice year hour   rehearsal do home studio,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.7026885,0.8954365
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,Bo Snarski of the Factory owns the facility. ,snarski factory own facility,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.6908711,0.12907071
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,The facility is about 150 square metres. ,facility square metre,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.3501465,-0.044278193
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"The facility is an old church, renovated by Bo to a <br>high standard about 3 years ago. ",facility old church renovate high standard year ago,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,1.2296293,0.93073475
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"The facility is good, but loading and accessibility are a problem. <br>Washrooms are not accessible. ",facility good loading inaccessibility problem   mushroom accessible,Negative,-0.3818,2,Venues need to be more accessible and subsidized for artists,0.6681384,0.30553663
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"Its a private facility, as far as we know no threats <br>are imminent. ",private facility far know threat imminent,Negative,-0.6124,3,Develop smaller theatres and cultural facilities in the city,1.1617639,-0.31188586
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"Were unlikely to need more space, as our audience is limited. <br>",unlikely need space audience limit,Negative,-0.2263,3,Develop smaller theatres and cultural facilities in the city,1.2997406,0.28347537
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"Our essential priorities are Performance Space and Kitchen, all others are <br>not a priority. ",essential priority performance space kitchen other priority,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.4053448,0.16877453
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"Performance space is a well-lit stage, with sound, 150 chairs, on-site <br>parking, hospitality facilities. ",performance space welllit stage sound chair inside parking hospitality facility,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,1.3954993,0.55501544
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"We dont intend to increase the number of performances its already <br>costing us in time and effort, for which we are <br>not remunerated. We would stay and maintain occasional use of <br>the current facility. ",not intend increase number performance already cost -PRON- time effort regenerate   would stay maintain occasional use current facility,Negative,-0.1685,1,Facilities should be more affordable,0.808249,0.05400386
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,"C of K should review the facility practices in Europe, where <br>not only are the buildings funded, but so are arts <br>infrastructure such as ticketing, publicity, rentals costs, social media support <br>and other initiatives which make small-scale performance more likely. The <br>Canadian model generally supports the building of structures, but not <br>the funding of the activities and the people who use <br>them. Only non-profits are eligible for city funds, and this <br>is a policy which is impeding development of the arts. <br>",c k review facility practice europe building fund art infrastructure thickening publicity rental cost social medium support initiative make smallscale performance likely   canadian model generally support building structure funding activity people use   nonprofit eligible city fund policy impede development art,Positive,0.7783,3,Develop smaller theatres and cultural facilities in the city,1.6746147,-0.085078076
Society of Friends of the Early Music Studio,V1Y 6C9,49.88223,-119.46868,Per capita spending on the arts in BC is very low. <br>The City of Kelowna should do its part to elevate <br>this dismal performance. ,capital spending art low   city kelowna part elevate dismal performance,Negative,-0.7988,3,Develop smaller theatres and cultural facilities in the city,0.6499645,-0.114864625
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,"Kelowna has done a pretty good job - athletic facilities, skating <br>rink, take the arts into the community, local playgrounds ",kelowna do pretty good job   athletic facility state risk take art community local playground,Positive,0.7269,2,Venues need to be more accessible and subsidized for artists,0.7276098,0.74032927
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,"Continue doing what you are doing, and increase as needed ",continue increase need,Positive,0.3182,3,Develop smaller theatres and cultural facilities in the city,1.0237862,-0.17413823
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,Outlying areas - programs to Rutland library - this is good <br>,outlying area   program upland library   good,Positive,0.4404,3,Develop smaller theatres and cultural facilities in the city,0.8858537,0.39166328
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,"Family day or free events - these are really good activities <br>2-3 times per year, appreciate this ",family day free event   really good activity   time per year appreciate,Positive,0.8479,2,Venues need to be more accessible and subsidized for artists,0.6881359,0.13266924
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,Artists are worthy of their hire - how do you have <br>accessibility and pay then as well. ,artist worthy hire   inaccessibility pay well,Positive,0.5574,2,Venues need to be more accessible and subsidized for artists,0.7592644,0.53661096
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,"I think city is doing a pretty good job, grants, workshops, <br>in her experience most receptive, collaboration is encouraged, finding other <br>resources for funding - Business for the Arts sponsorship grants <br>",think city pretty good job grant workshop experience receptive collaboration encourage find resource funding   business art sponsorship grant,Positive,0.886,3,Develop smaller theatres and cultural facilities in the city,1.1151911,-0.06575574
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,"Unless there are some other incentives volunteers are trying to keep <br>the ship going rather than building a bigger ship - <br>working harder than working smarter - helping with expertise or <br>letting people know what expertise is availability, communication - let <br>people know about print dates about leisure guide ",unless incentive volunteer try keep ship go rather build big ship   work harder work smart   help expertise let people know expertise availability communication   let people know print date leisure guide,Positive,0.7579,3,Develop smaller theatres and cultural facilities in the city,1.7444187,-0.6958585
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,Encourage folks to be less last minute. ,encourage folk less last minute  ,Positive,0.5106,3,Develop smaller theatres and cultural facilities in the city,0.94987357,0.08156479
Global Citizens Event Society,V1V 1N7,49.897782,-119.43033100000001,Kudos to all making Kelowna a livable place. ,bud make kelowna liable place,Positive,0.5106,3,Develop smaller theatres and cultural facilities in the city,1.0829774,0.18048675
Living Things Festival,V1Y 9R3,49.89066,-119.496581,"SPACE, accessible and affordable space. ",space accessible unfordable space,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.622391,0.2595728
Living Things Festival,V1Y 9R3,49.89066,-119.496581,"Way to focus the cultural community in real time and a <br>real space. Communicate virtually difficult public relations, lack of real <br>space focus - space where you can go and find <br>out what is happening. RCA could be that space, but <br>it is not a community centre. Arts Club in Vancouver <br>functions somewhat like this. ",may focus cultural community real time real space   communicate virtually difficult public relation lack real space focus   space go find happen   rca could space community centre   art club vancouver function somewhat like,Positive,0.1054,1,Facilities should be more affordable,0.945835,-1.1902032
Living Things Festival,V1Y 9R3,49.89066,-119.496581,Belgium cultural centres included sport and culture - gathering of different <br>community interests - here siloed culture ,belgium cultural centre include sport culture   gathering different community interest   smile culture,Positive,0.25,1,Facilities should be more affordable,0.66826195,-0.6341321
Living Things Festival,V1Y 9R3,49.89066,-119.496581,Advantages of the flexible space. ,advantage flexible space,Positive,0.5267,3,Develop smaller theatres and cultural facilities in the city,1.2200544,0.57438785
Living Things Festival,V1Y 9R3,49.89066,-119.496581,"Cultural issue that is quite complex - consumer access to culture, <br>we purchase culture according to our tastes very little interaction <br>between the silos. Ballet consumers only go to the ballet <br>may go to symphony and or opera. ",cultural issue quite complex   consumer access culture purchase culture accord taste little interaction silk   mallet consumer go ballet may go symphony opera,Neutral,0.0,1,Facilities should be more affordable,1.4929873,-1.0460953
Living Things Festival,V1Y 9R3,49.89066,-119.496581,Community access to theatre live performance of all disciplines - missing <br>is a connector Living things is attempting to do this. <br>,community access theatre live performance discipline   miss connection give thing attempt  ,Negative,-0.296,3,Develop smaller theatres and cultural facilities in the city,0.97562885,-0.40341768
Living Things Festival,V1Y 9R3,49.89066,-119.496581,City based publication that talks about everything going on. ,city base publication talk everything go,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1850847,-0.43570495
Living Things Festival,V1Y 9R3,49.89066,-119.496581,"Put some more money into the facilities, human resources. ",money facility human resource,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.9365952,0.27301705
Living Things Festival,V1Y 9R3,49.89066,-119.496581,Definitely a city responsible to provide facilities that bring the community <br>together and provide challenging and stimulating opportunities for communing. ,definitely city responsible provide facility bring community together provide challenging stimulating opportunity commune,Positive,0.8779,3,Develop smaller theatres and cultural facilities in the city,1.1351274,-0.9534612
Living Things Festival,V1Y 9R3,49.89066,-119.496581,The city is already paying for roads and infrastructure why not <br>pay for cultural facilities. ,city already pay road infrastructure pay cultural facility,Positive,0.0762,2,Venues need to be more accessible and subsidized for artists,0.07246549,0.40315664
Living Things Festival,V1Y 9R3,49.89066,-119.496581,Access to the spacesvenues could be developed and the spaces could <br>be offered free to young emerging company and artists to <br>stimulate the artist creative in the community. ,access spacesvenue could develop space could offer free young emerge company artist stimulate artist creative community,Positive,0.7964,2,Venues need to be more accessible and subsidized for artists,1.0164679,0.4713426
Living Things Festival,V1Y 9R3,49.89066,-119.496581,Attempting to facility this and difficult to finance the artists and <br>the space. ,attempt facility difficult finance artist space  ,Negative,-0.3612,3,Develop smaller theatres and cultural facilities in the city,1.0791095,0.039960634
Living Things Festival,V1Y 9R3,49.89066,-119.496581,Wonderful thing to have the space like the black box available <br>to emerging artists free of charge. ,wonderful thing space like black box available emerge artist free charge,Positive,0.8591,2,Venues need to be more accessible and subsidized for artists,-0.05508756,0.95156765
Living Things Festival,V1Y 9R3,49.89066,-119.496581,People involved in the workers cultural community - it would be <br>good to gather them together to develop that community collaborative <br>and collective energy that is available - but lacking at <br>the moment. ,people involve worker cultural community   would good gather together develop community collaboration collective energy available   lack moment,Positive,0.3612,1,Facilities should be more affordable,-0.09659647,-1.0453546
Kasugai Sister City,V1Y 1J4,49.88823,-119.49643600000002,Affordability is an issue ,affordability issue,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2260095,0.10337427
Kasugai Sister City,V1Y 1J4,49.88823,-119.49643600000002,"Culture venue, churches - multi-purpose building, examples like H20, library - <br>new editions - 3d printing ",culture venue church   multipurpose building example like h library   new edition    printing,Positive,0.3612,2,Venues need to be more accessible and subsidized for artists,0.6581459,0.5435752
Kasugai Sister City,V1Y 1J4,49.88823,-119.49643600000002,Need to hear from the current groups that are or arent <br>using the facilities - why are groups not using facilities? <br>,need hear current group agent use facility   group use facility,Neutral,0.0,1,Facilities should be more affordable,-0.27706853,-0.24854836
Kasugai Sister City,V1Y 1J4,49.88823,-119.49643600000002,Staff at the city is great. ,staff city great,Positive,0.6249,3,Develop smaller theatres and cultural facilities in the city,0.27213195,0.10792756
Kelowna Community Concerts Association (KCCA),V1Y 1J4,49.888127000000004,-119.49643600000002,"Renovations to the KCT, developing a culture plan, city taking a <br>role. ",innovation kct develop culture plan city take role,Neutral,0.0,1,Facilities should be more affordable,-0.38328844,-0.49446154
Arts Council,V1Y 6Z1,49.891748,-119.493626,"One of the biggest opportunities is we have a strong music <br>scene, but no place for them to play, or to <br>cultivate a music audience, creating listening environments ",one big opportunity strong music scene place play cultivate music audience create listen environment,Positive,0.7227,1,Facilities should be more affordable,0.043007985,-0.7577543
Arts Council,V1Y 6Z1,49.891748,-119.493626,"The best local food to wine, best food to table and <br>the best musicians ",good local food wine good food table good musician,Positive,0.9274,2,Venues need to be more accessible and subsidized for artists,1.5750082,0.65938014
Arts Council,V1Y 6Z1,49.891748,-119.493626,"Have the talent here for sure, dont have the information and <br>place for them to actually play to grow intermediate steps <br>",talent sure not information place actually play grow intermediate step,Positive,0.7579,1,Facilities should be more affordable,0.8697283,-0.47340474
Arts Council,V1Y 6Z1,49.891748,-119.493626,"Music and art outside the main spaces - more spaces needed <br>for others to have a chance, growth potential is here <br>but is being stifled ",music art outside main space   space need other chance growth potential stifle,Negative,-0.2023,2,Venues need to be more accessible and subsidized for artists,0.7469883,0.61241126
Arts Council,V1Y 6Z1,49.891748,-119.493626,Need a place to play I the winter time - parks <br>alive satisfies during the summer ,need place play winter time   part alive satisfie summer,Positive,0.7783,2,Venues need to be more accessible and subsidized for artists,0.77249473,0.14509253
Arts Council,V1Y 6Z1,49.891748,-119.493626,"Making it affordable and availability, broader accessibility, timewise ",take unfordable availability broad inaccessibility likewise,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,1.0637861,0.28877681
Arts Council,V1Y 6Z1,49.891748,-119.493626,Being open to ideas and being different - organic component to <br>it ,open idea different   organic component,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.65321684,0.43857014
Arts Council,V1Y 6Z1,49.891748,-119.493626,Marketing component is key ,marketing component key,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.71585023,-0.19281097
Arts Council,V1Y 6Z1,49.891748,-119.493626,Smaller to mid-size space ,small midwife space,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.9359348,0.13204773
Kelowna Pipe Band,V1Y 9H2,49.897103,-119.499683,"Affordable spaces, community sponsored spaces, low annual fee to use the <br>space for performance or practice ",unfordable space community sponsor space low annual fee use space performance practice,Negative,-0.2732,3,Develop smaller theatres and cultural facilities in the city,0.15362334,0.5661786
Kelowna Pipe Band,V1Y 9H2,49.897103,-119.499683,"Functional, multi-theatre space?? ",functional multitheatre space,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.506226,0.12523103
Kelowna Pipe Band,V1Y 9H2,49.897103,-119.499683,"Continue to reach out to the groups that are part of <br>the community, those are your front line voices, give you <br>the first-hand experience, or changes that can be made ",continue reach group part community front line voice give firsthand experience change make,Positive,0.0258,1,Facilities should be more affordable,0.8595376,-1.1134443
Kelowna Pipe Band,V1Y 9H2,49.897103,-119.499683,Open communication and being available to hear from the groups when <br>ideas are brought forward ,open communication available hear group idea bring forward,Neutral,0.0,1,Facilities should be more affordable,0.42086914,-0.47862473
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,"Venue accessibility, affordable venue access ",venue inaccessibility unfordable venue access,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.22709462,0.12432915
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,"Forum would be a good venue, need warm-up space and a <br>theatre ",forum would good venue need warm space theatre,Positive,0.4404,2,Venues need to be more accessible and subsidized for artists,0.3450515,0.51776856
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,"Dedicated venue space, adjunct rooms warmup rooms ",dedicated venue space adjunct room warm room,Positive,0.5267,3,Develop smaller theatres and cultural facilities in the city,1.4039313,0.44135624
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,"Need parking, it is too expensive ",need parking expensive,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.5784953,0.11248907
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,Scheduling is challenging need to book so far in advance ,scheduling challenge need book far advance,Positive,0.1531,2,Venues need to be more accessible and subsidized for artists,1.1254619,0.5822527
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,Million question - ,million   question  ,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.4813721,-0.1608023
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,Financial Subsidies to help address some of the rising costs of <br>venues ,financial subsidy help address rise cost avenue,Positive,0.4019,1,Facilities should be more affordable,0.7767987,0.5859419
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,"Explore or work with private sector, explore other available options to <br>host these organization and community events in ",explore work private sector explore available option host organization community event,Neutral,0.0,1,Facilities should be more affordable,0.92006296,-0.69727486
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,A big thank you for reaching out and connecting. ,big thank reach connect,Positive,0.5106,3,Develop smaller theatres and cultural facilities in the city,1.2258277,-0.17457423
Kiwanis Music festival,V1Y 6P6,49.8863165,-119.48601699999999,"Offer up our interest in anything in the future, to be <br>part of a committee or consultation. ",offer interest anything future part committee consultation,Positive,0.4588,1,Facilities should be more affordable,1.1339946,-0.6959619
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,Mask another group she is involved with - this group doesnt <br>have a home and they rely on space that is <br>available. They self-present and a booked by other organizations. They <br>rehearse in 3-4 different churches - costs are huge issues. <br>,ask another group involve   group home rely space available   selfpresent book organization   release   different church   cost huge issue,Positive,0.3182,2,Venues need to be more accessible and subsidized for artists,0.25472534,1.0109695
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,"Currently paying 50 for three hours once a week, with not <br>much hope of adding rehearsal time three-month contract. They rehearse <br>a show and them shop the show. IF they dont <br>make enough money on shows then members have to ante <br>up money to support. They have paid for rehearsal space <br>at the RCA minimum of 75 ",currently pay three hour week much hope add rehearsal time threemonth contract   release show shop show   not make enough money show member ante money support   pay rehearsal space rca minimum,Positive,0.0757,2,Venues need to be more accessible and subsidized for artists,1.5565943,0.94007295
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,Storage has become an issue - concert in lieu of rent <br>split proceeds ,storage become issue   concert lieu rent split proceed,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,1.2381265,0.5166674
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,"OSF pretty well set. Space and resources, insurance, and tech ",osf pretty well set   space resource insurance teach,Positive,0.6486,3,Develop smaller theatres and cultural facilities in the city,1.0969793,0.58732903
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,On the one hand lots of the local organizations get grants <br>- so the city does take some ownership of the <br>groups and therefore should support the spaces in which they <br>are working. ,one hand lot local organization get grant   city take ownership group therefore support space work,Positive,0.7783,1,Facilities should be more affordable,-0.85003066,0.5668804
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,Reasonable venue space is important ,reasonable venue space important,Positive,0.2023,3,Develop smaller theatres and cultural facilities in the city,0.5727184,0.03838129
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,To build a new theatre in town that meets all the <br>communitys requirements is a tall order. ,build new theatre town meet community requirement tall order,Neutral,0.0,1,Facilities should be more affordable,0.26202008,-0.12994112
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,"Building a small 200 seat theatre, black box with good acoustics <br>and a piano would serve a lot of the community <br>needs. ",build small seat theatre black box good caustic piano would serve lot community need,Positive,0.4404,2,Venues need to be more accessible and subsidized for artists,-0.41484296,1.019449
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,Reasonable spaces for reasonable rent. ,reasonable space reasonable rent,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2908766,0.3338603
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,Have the city get involved in suggesting the types of amenity <br>space that would be worthwhile in new buildings being considered. <br>,city get involve suggest type amnesty space would worthwhile new building consider,Positive,0.34,3,Develop smaller theatres and cultural facilities in the city,1.1716936,0.3080882
Okanagan Festival Singers,V1W 1V6,49.8373465,-119.48762450000001,Subsidize and support some of the churches in town who are <br>already acting as the homes for rehearsals and performances to <br>many groups to better utilize them as cultural spaces. ,subsidize support church town already act home rehearsal performance many group better utilize cultural space,Positive,0.6808,2,Venues need to be more accessible and subsidized for artists,0.19194876,0.47571263
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,"Lost so much of our history and heritage, more weight put <br>on the importance of history and heritage ",much history heritage weight put importance history heritage,Positive,0.0516,1,Facilities should be more affordable,0.20809928,-1.0406076
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,"All the groups are siloed, groups get together Heritage Week - <br>needs someone pulling them together for a conversation ",group smile group get together heritage week   need someone pull together conversation,Neutral,0.0,1,Facilities should be more affordable,0.6443458,-0.961162
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,More emphasis on preservation of heritage and history stories ,emphasis preservation heritage history story,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.3547064,-0.7277393
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,Facilitation of heritage ,facilitation heritage,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1948413,-0.50075203
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,Need a History planner in the planning department ,need history planner planning department,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1942041,-0.5470601
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,Need a Council member assigned to the various history and heritage <br>committees ,need council member assign various history heritage committee,Neutral,0.0,1,Facilities should be more affordable,0.86601335,-0.96675944
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,The history groups need to be listened too ,history group need listen,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.85679424,-0.44599256
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,Could the Cameron House be used as a historicalheritage hub for <br>organizations? ,would cameron house use historicalheritage hut organization,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.429011,0.09459208
Okanagan Historical Society - Kelowna branch,V1Y 4P9,49.883203,-119.456992,More connection with the city - planning and council ,connection city   planning council,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2829487,-0.5019805
Okanagan Regional Library,V1Y 2A2,49.889007,-119.49350700000001,"After past renovations, theres now a requirement for us to do <br>fundraising to raise funds for facility changes. So it comes <br>down to finding balance between the usual library roles and <br>finding time to identify opportunities for fundraising ourselves. ",past renovation requirement -PRON- fundraising raise fund facility change   come find balance usual library role find time identify opportunity fundraise,Positive,0.3818,1,Facilities should be more affordable,1.0008876,-2.04543
Okanagan Regional Library,V1Y 2A2,49.889007,-119.49350700000001,"We continue to receive strong advice support from the Citys building <br>systems departments in order to make the Revitalization Plan and <br>recent renovations successful, and to reduce impact on staff and <br>our patrons. An open line of communication to key individuals <br>is valued by myself and the supervisors here. ",continue receive strong advice   support building system department order make revitalization plan recent renovation successful reduce impact staff patron   open line communication key individual value supervisor,Positive,0.9136,1,Facilities should be more affordable,1.6418241,-1.7860655
OSIF,V1Y 6H9,49.88450912,-119.49778570000001,"Affordable space for the creators to meet showcase and develop, ",unfordable space creator meet showcase develop,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2072941,0.048690848
OSIF,V1Y 6H9,49.88450912,-119.49778570000001,Provide opportunities for the magic to happen whether in space or <br>opportunities to connect ,provide opportunity magic happen whether space opportunity connect,Positive,0.6369,3,Develop smaller theatres and cultural facilities in the city,1.1804053,-0.44574094
Ponderosa Spinners and Weavers and Fibre Artists Guild,V1Y 6Z1,49.891754999999996,-119.493626,"Bigger theatre - something between KCT and Prospera - bigger lobby, <br>more washrooms ",big theatre   something kct prosper   big lobby mushroom,Positive,0.0258,3,Develop smaller theatres and cultural facilities in the city,1.4574908,0.7185216
Ponderosa Spinners and Weavers and Fibre Artists Guild,V1Y 6Z1,49.891754999999996,-119.493626,Space that has a lot of breakout space big hall and <br>smaller 5 spaces Defunct schools would be great for this <br>purpose ,space lot breakup space big hall small space defunct school would great purpose,Positive,0.6249,2,Venues need to be more accessible and subsidized for artists,0.85941195,0.90200514
Ponderosa Spinners and Weavers and Fibre Artists Guild,V1Y 6Z1,49.891754999999996,-119.493626,"One level loading zones, ventilation wove dying ",one level loading bone ventilator wove die,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.6965638,-0.12147207
Ponderosa Spinners and Weavers and Fibre Artists Guild,V1Y 6Z1,49.891754999999996,-119.493626,Provide the required space for various community groups to have access <br>to ,provide require space various community group access,Neutral,0.0,1,Facilities should be more affordable,0.13509445,-0.3382372
Ponderosa Spinners and Weavers and Fibre Artists Guild,V1Y 6Z1,49.891754999999996,-119.493626,"Taking up the space for the cultural district- where to you <br>move to, where else do you build it ",take space cultural district move else build,Neutral,0.0,1,Facilities should be more affordable,0.15260912,-0.009124708
Ponderosa Spinners and Weavers and Fibre Artists Guild,V1Y 6Z1,49.891754999999996,-119.493626,Difficult to balance - time for the city to focus on <br>cultural needs rather than sport needs ,difficult balance   time city focus cultural need rather sport need,Negative,-0.3612,1,Facilities should be more affordable,0.73579,-0.670258
Kelowna Pride Festival ,V1Y 9H2,49.942137,-119.42129399999999,"Availability, pricing ",availability prick,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.32439,-0.004690503
