Response,CleanedResponse,Topic,TopicText,X,Y
Free events for families. An idea for an art event - <br>similar to Qualicum Beach they have an event where artists <br>are placed throughout the town and people can watch them <br>work as they walk around. Art is then auctioned for <br>charity. Need to subsidize art activities and programs for studentsschools. <br>,free event family   idea art event   similar qualicum event artist place throughout town people watch work walk around   art sanction charity   need subsidize art activity program studentsschool,1,Support events organized by local groups for the community,61.31966,-30.037786
Individuals need to participate! Need more city involvement in promoting cultural <br>events. ,individual need participate need city involvement promote cultural event  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-27.321615,-7.540441
"Outdoor events - Art Busker Zones, Play Zones - Family games <br>with Demos of different cultures. ",outdoor event   art musket bone lie bone   family game gem different culture,2,Create more affordable theatres and spaces for artists and small businesses,-14.135656,-46.58183
Increase interactive activities like outdoor piano. Make the downtown cultural district <br>safer and more family friendly. ,increase interactive activity like outdoor piano   take downtown cultural district safe family friendly,4,Provide more opportunities in the city for cultural and heritage groups,5.455344,50.34355
going straight to the source artists incredibly important and valuable ,go straight source artist incredibly important valuable,1,Support events organized by local groups for the community,31.978859,-3.9911318
"supporting established organizations like Opera Kelowna, Ballet Kelowna, the Okanagan Symphony <br>and City Band ",support established organization like opera kelowna mallet kelowna okanagan symphony city,1,Support events organized by local groups for the community,47.18218,-10.903238
"where it exists, Kelowna has a vibrant and creative music scene <br>with lots of talented artists giving meaningful experience to those <br>listeners that are aware of the scene ",exist kelowna vagrant creative music scene lot talented artist give meaningful experience listener aware scene,2,Create more affordable theatres and spaces for artists and small businesses,-18.103453,-49.960526
"There a variety of different kinds of space RCA, NAC, KAG, <br>Prospera etc. ",variety different kind space rca nac kag prosper etc,2,Create more affordable theatres and spaces for artists and small businesses,-9.86416,-41.90575
the free public summer concerts are good but also gentrification is <br>NOT vitality ,free public summer concert good also gentrification vitality,2,Create more affordable theatres and spaces for artists and small businesses,-0.020145092,-25.799316
"talent - passionate, demographic, entrepreneurial spirit ",talent   passionate geographic entrepreneurial spirit,4,Provide more opportunities in the city for cultural and heritage groups,7.786146,22.043674
currently local artists themselves putting themselves forward and donating their own <br>time and money to connect the music and art scene <br>in Kelowna ,currently local artist put forward donation time money connect music art scene kelowna,4,Provide more opportunities in the city for cultural and heritage groups,5.636308,49.677326
Kelowna is a vibrant community of artists and musicians. If events <br>are promoted strategically and properly we can crease a win-win <br>situation for everyone ,kelowna vagrant community artist musician   event promote strategically properly crease within situation everyone,4,Provide more opportunities in the city for cultural and heritage groups,6.5073047,46.128277
current you arent. There is tons of work to be done <br>in this department ,current agent   ton work do department,1,Support events organized by local groups for the community,20.317142,-2.5203125
"a huge and sudden decrease in available venues does not, to <br>me, indicate a well functioning cultural plan ",huge sudden decrease available avenue indicate well sanction cultural plan,4,Provide more opportunities in the city for cultural and heritage groups,6.7239017,44.16975
we have a rich arts community an a practically impoverished capacity <br>for it ,rich art community practically impoverished capacity,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-19.377222,-5.7749743
Get business community connected to cultural community ,meet business community connect cultural community,4,Provide more opportunities in the city for cultural and heritage groups,7.9025574,20.854042
Ensure that facilitates and resources are accessible. ,ensure facilitate resource accessible,4,Provide more opportunities in the city for cultural and heritage groups,8.185894,18.116158
The City needs to at least keep up with inflation in <br>its operating grants programs. There may also be an argument <br>for increased funding specifically to engage with professional organizations who <br>would be users in development of better cultural infrastructure. This <br>will help ensure that investments in facilities will serve the <br>largest possible number of residents and visitors over many years. <br>,city need least keep inflation operating grant program   may also argument increase funding specifically engage professional organization would user development good cultural infrastructure   help ensure investment facility serve large possible number resident visitor many year,2,Create more affordable theatres and spaces for artists and small businesses,6.359782,-10.547363
"KVPACS achieved its objectives,perhaps needs a rebirth. ",kvpac achieve objectivesperhap need rebirth,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-14.262651,-4.340211
"We need a street space dedicated to the creative minds to <br>share with the community and visitors. People come to Kelowna <br>and want to see local artists, buy local crafts, etc, <br>but instead of supporting, the City has decided to close <br>what was once the only crafts market downtown. Instead of <br>working with the solution, it closed eyes to the need <br>to creative expression. Allow more expression instead of creating more <br>rules that only suppress it. ",need street space dedicate creative mind share community visitor   people come kelowna want see local artist buy local craft etc instead support city decide close crafts market downtown   instead work solution close eye need creative expression   allow expression instead create rule suppress  ,4,Provide more opportunities in the city for cultural and heritage groups,2.5653377,60.13575
"Kelownas business community will benefit from improving the arts experience in <br>Kelowna, being able to attract better qualified individuals who want <br>to move to a vibrant cultural community, not a backwater <br>small town. ",kelownas business community benefit improve art experience kelowna able attract better qualified individual want move vagrant cultural community backwater small town,2,Create more affordable theatres and spaces for artists and small businesses,-25.909735,-55.441936
Create a social media portal that would act as a hub <br>for all Kelowna live music and musicians. ,create social medium portal would act hut kelowna live music musician  ,4,Provide more opportunities in the city for cultural and heritage groups,3.18802,11.817656
"Make busking licenses cheaper, put in more busk stops, make the <br>downtown vendor market larger and more affordable for artists, encourage <br>paid street art maybe offer grants to artists to put <br>more murals around town? also put a pedestrian activated crosswalk <br>halfway between the existing traffic lights at SpringfieldBenvoulin and DilworthBaron <br>because people just jaywalk there during the farmers market anyway. <br>",take busy license cheap put busy stop make downtown vendor market large unfordable artist encourage pay street art maybe offer grant artist put moral around town also put pedestrian activate crossway halfway exist traffic light springfieldbenvoulin dilworthbaron people jaywalk farmer market anyway  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-5.52385,0.7528232
"Culture in all its forms is vital for enhanced business activity <br>and a vibrant tourism sector. Major investments in music venues, <br>theatres, museums and galleries are not costs but economic generators. <br>See the work of Richard Florida, The Rise of the <br>Creative Class, 2002 on this topic. ",culture form vital enhanced business activity vagrant tourism sector   major investment music avenue theater museum gallery cost economic generation   see work richard florida rise creative glass topic,2,Create more affordable theatres and spaces for artists and small businesses,-27.986372,-57.427254
City needs to provide a framework to coordinate and promote the <br>various volunteer groups working on cultural related activities. Most are <br>volunteer driven and do not have resources or finances to <br>look beyond their particular area of interest. ,city need provide framework coordinate promote various volunteer group work cultural related activity   volunteer drive resource finance look beyond particular area interest  ,3,"Encourage, support and promote local businesses and artists",-16.961859,19.013908
"I can visit existing facilities to a greater extent. The City <br>can fundi improvements to existing facilities, businesses and organizations can <br>provide funding and host eventsactivities at venues ",visit exist facility great extent   city fund improvement exist facility business organization provide funding host eventsactivitie avenue,4,Provide more opportunities in the city for cultural and heritage groups,4.266773,54.210617
Events geared towards the arts in a real way peer review <br>must be the priority NOT mass entertainment that dumbs down <br>quality to the lowest common denominator. ,event fear towards art real way   peer review must priority mass entertainment dumb quality low common denomination,1,Support events organized by local groups for the community,59.808804,-27.804075
"This one seems like a challenging goal to support from the <br>Citys perspective, as a lot of it has to do <br>with individuals getting involved in their own community. Finding ways <br>to attract people to available volunteer positions is important perhaps <br>offering incentives to participate would be helpful. Personally, I think <br>I can support this goal by talking more about all <br>the amazing arts, culture, and heritage opportunities that exist in <br>Kelowna. ",one seem like challenging goal support perspective lot individual get involve community   find way attract people available volunteer position important perhaps offer incentive participate would helpful   personally think support goal talk amazing art culture heritage opportunity exist kelowna  ,1,Support events organized by local groups for the community,61.788685,-31.368784
doing well in making our artistic culture close together like Bernard <br>or North Richter ,well make artistic culture close together like gerard north rich,1,Support events organized by local groups for the community,41.824314,-6.7900734
in order for populous to have options for what artistic medium <br>they wish to continue ,order populous option artistic medium wish continue,4,Provide more opportunities in the city for cultural and heritage groups,7.7962437,37.510677
artists in this town desperately need a hub in order to <br>promote themselves where it is convenient for the consumer to <br>see what is available around them ,artist town desperately need hut order promote convenient consumer see available around,4,Provide more opportunities in the city for cultural and heritage groups,6.7459517,45.218563
"Supplement the cost of performance spaces KCT, RCA for local artists <br>",supplement cost performance space kct rca local artist,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-32.06806,-8.527123
Promote local art and business relationships and cuttingsupplementing more cost to <br>help do this without bias of preferred arts organizations or <br>artists ,promote local art business relationship cuttingsupplement cost help without bias preferred art organization artist,4,Provide more opportunities in the city for cultural and heritage groups,5.238357,51.131893
Affordable and subsidizes city ownedrun venues increasing the activity and vibrancy <br>of our creative community ,unfordable subsidized city ownedrun avenue increase activity vagrancy creative community,4,Provide more opportunities in the city for cultural and heritage groups,6.477065,46.294746
expand programs such as Parks AliveFestivals Kelowna so it is not <br>just one organization running programs of this nature ,expand program mark alivefestival kelowna one organization run program nature,2,Create more affordable theatres and spaces for artists and small businesses,0.6009622,-12.033762
All processes should be ongoing with benchmarks to meet and transparency <br>in showing the community how the Cultural Plan is being <br>executed ,process go benchmark meet transparent show community cultural plan execute,1,Support events organized by local groups for the community,46.79325,-10.589894
"The city should realize that a strong and healthy culture is <br>important for a strong and healthy City. Art is rarely <br>profitable, so the music culture need financial support from the <br>City government ",city realize strong healthy culture important strong healthy city   art rarely profitable music culture need financial support city government,3,"Encourage, support and promote local businesses and artists",-35.61796,31.88766
The City needs to create funding for artists and musicians who <br>pitch for it ,city need create funding artist musician pitch,3,"Encourage, support and promote local businesses and artists",-19.387915,17.779356
"No 12 page grant applications, just a committee you can sit <br>before and deliver a proposal ",page grant application committee sit deliver proposal,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-29.388062,-8.057708
Also the City needs to finance a cultural app that focuses <br>on promoting local music and arts events ,also city need finance cultural pp focus promote local music art event,3,"Encourage, support and promote local businesses and artists",-33.195595,29.738935
Allocate resources and funding to assist businesses who dedicate themselves to <br>arts and culture in Kelowna ,allocate resource funding assist business dedicate art culture kelowna,3,"Encourage, support and promote local businesses and artists",-27.341675,25.139324
remove restrictions on musicians entertaining people on the street for money <br>- within respect ,remove restriction musician entertain people street money   within respect,4,Provide more opportunities in the city for cultural and heritage groups,7.289948,41.269398
"Off season event support like allow more street performancesvendors, create public <br>spaces in community for murals, music sessions, performances ",season event support like allow street performancesvendor create public space community moral music session performance,4,Provide more opportunities in the city for cultural and heritage groups,4.246432,54.42441
create indoor public space newexpanded City Hall ,create indoor public space newexpanded city,3,"Encourage, support and promote local businesses and artists",-17.809927,17.175768
"expand programs into covered, indoor or outdoor spaces that are accessible <br>",expand program cover indoor outdoor space accessible,2,Create more affordable theatres and spaces for artists and small businesses,-5.893335,-37.888496
funding to create and oversee the creation and monitoring of local <br>artsmusicculture app a hub where people know when and where <br>everything is happening ,funding create overseer creation monitoring local artsmusicculture pp hut people know everything happen,1,Support events organized by local groups for the community,57.09442,-23.130022
There needs to be a group of individuals handling this on <br>the Citys behalf with City funding. Advertising is a huge <br>issue and needs to be initiated ,need group individual handle behalf city funding   advertising huge issue need initiate,4,Provide more opportunities in the city for cultural and heritage groups,6.3444076,46.67846
The app needs to be integrated into the demands and needs <br>of the arts and entertainment industry as well as the <br>City and its downtown design plan i. e. LCD displays <br>that show upcoming and current cultural events ,pp need integrate demand need art entertainment industry well city downtown design plan e   lcd display show come current cultural event,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-42.285496,-11.895448
match funding provided by artists for an app to promote public <br>awareness of available art ,match funding provide artist pp promote public awareness available art,2,Create more affordable theatres and spaces for artists and small businesses,-15.490808,-47.406666
"promote art as a reason to come here, not just wine <br>and golf ",promote art reason come wine golf,2,Create more affordable theatres and spaces for artists and small businesses,0.84390277,-25.176426
make temporary noise bylaw lifting available for house shows ,make temporary noise law lifting available house show,3,"Encourage, support and promote local businesses and artists",-24.981062,22.993979
"improving ways of connecting more people from Kelowna, either by a <br>domain or an app that can be used to conveniently <br>educate people about the entertainment around them ",improve way connect people kelowna either domain pp use conveniently educate people entertainment around,2,Create more affordable theatres and spaces for artists and small businesses,-15.508388,-48.210983
local organizations to work together to pool resourcessupport for each other <br>more ,local organization work together pool resourcessupport,1,Support events organized by local groups for the community,19.354748,-0.8320185
working with our community to create clear objectives ,work community create clear objective,4,Provide more opportunities in the city for cultural and heritage groups,8.442349,19.494438
"the musicians in this town need a co-op space to rehearse, <br>put on shows, a tool library for making merch ",musician town need cook space release put show tool library make march,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-36.055786,-9.633486
"If the City could provide a buildingspace, a co-op of musicians <br>could take care of the rest ",city could provide buildingspace cook musician could take care rest,1,Support events organized by local groups for the community,40.74408,-6.7078404
Need to communicate together and spread around the funding and share <br>events around ,need communicate together spread around funding share event around,2,Create more affordable theatres and spaces for artists and small businesses,4.788821,-21.302378
"more collaborative communicationcross-pollination of schedules, promotion, fan-base etc. ",collaboration communicationcrosspollination schedule promotion fanwise etc,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-16.76303,-5.6561275
craft classes that unite people with interests in the arts ,craft class unite people interest art,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-15.142584,-4.978937
bring work to public spaces sadly we dont have much outside <br>parks ,bring work public space sadly not much outside part,2,Create more affordable theatres and spaces for artists and small businesses,1.2671016,-25.162485
work with the college to get in front of more people <br>,work college get front people,1,Support events organized by local groups for the community,19.465363,2.6526086
"with the city and organizations promoting a scene, everyone wins ",city organization promote scene everyone win,3,"Encourage, support and promote local businesses and artists",-15.4917555,18.718075
Art gatherings and exhibits in the downtown core to draw more <br>arts and entertainment tourism ,art gathering exhibit downtown core draw art entertainment tourism,2,Create more affordable theatres and spaces for artists and small businesses,-10.754504,-43.216507
local organizations encouraging more varied art to be presented rather than <br>the usually pursued types of art all the time ,local organization encourage varied art present rather usually pursue type art time,1,Support events organized by local groups for the community,54.259968,-18.00382
open doors on earlier concertsart showings in order to make music <br>more accessible for more dynamic groups of people who may <br>not wish to be at the bar until 1am ,open door early concertsart show order make music accessible dynamic group people may wish bar,4,Provide more opportunities in the city for cultural and heritage groups,4.2572913,53.55209
open spaces up in unconventional ways to accommodate artists ,open space conventional way accommodate artist,4,Provide more opportunities in the city for cultural and heritage groups,7.651927,25.332027
Partnerships with arts organizations to create more accessibility like Parks Alive <br>does in the summer ,partnership art organization create inaccessibility like mark live summer,2,Create more affordable theatres and spaces for artists and small businesses,-9.644706,-42.326763
"In relation to music, venues typically make their money from liquor <br>sells, so making liquor licensing easier to get will make <br>it easier for venues to host musicians ",relation music avenue typically make money liquor cell make liquor licensing easy get make easy avenue host musician,1,Support events organized by local groups for the community,56.029236,-21.071938
"businesses need to partner with a city-wide initiative to support, promote <br>and build an app that makes it soooo easy to <br>see everything that is happening in Kelowna ",business need partner citywide initiative support promote build pp make soon easy see everything happen kelowna,1,Support events organized by local groups for the community,57.609684,-23.704733
Allocate resources and funding to assist businesses who dedicate themselves to <br>arts and culture in Kelowna ,allocate resource funding assist business dedicate art culture kelowna,3,"Encourage, support and promote local businesses and artists",-27.341675,25.139324
"events hosted in non-event spaces like OC, retail, library, schools ",event post convent space like retail library school,4,Provide more opportunities in the city for cultural and heritage groups,7.57027,34.36991
get grant funding from the City to host cultural events for <br>the community while still keeping it affordable for people to <br>come out regularly ,get grant funding city host cultural event community still keep unfordable people come regularly,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-39.2904,-10.7795105
"enable artists to promote shows and expos in businesses i. e. <br>posters, CDs, stickers, profits, partly split between artists and businesses <br>",enable artist promote show expose business e   poster stick profit partly split artist business,4,Provide more opportunities in the city for cultural and heritage groups,5.986468,48.32986
funding or promoting local artists in ways that may make the <br>-- points more possible ,funding promote local artist way may make   point possible,3,"Encourage, support and promote local businesses and artists",-27.630949,25.838774
Go see LOCAL art of all disciplines to help support it <br>ex recent shows at Innovation Centre not super well attended <br>,see local art discipline help support ex recent show innovation centre super well attend,2,Create more affordable theatres and spaces for artists and small businesses,-17.364887,-49.3685
Increased awareness through marketing will help individuals engage in the music <br>scene ,increase awareness marketing help individual engage music scene,4,Provide more opportunities in the city for cultural and heritage groups,7.1772285,42.42872
individuals need to get the new city-funded and marketed app that <br>serves as a platform for advertising LOCAL music concerts. Art <br>opening and cultural events ,individual need get new cityfund mark pp serve platform advertise local music concert   art opening cultural event,2,Create more affordable theatres and spaces for artists and small businesses,2.814167,-14.653067
Culturally focused individuals need a shared platform to speak with each <br>other ,culturally focus individual need share platform speak,1,Support events organized by local groups for the community,33.115643,-3.5888705
more brainstorming sessions for individuals to contribute to. ,brainstorming session individual contribute,2,Create more affordable theatres and spaces for artists and small businesses,6.76906,-19.541956
bring their art practice out into public on the street ,bring art practice public   street,2,Create more affordable theatres and spaces for artists and small businesses,4.306846,-21.519089
have access to an app that specializes in the art and <br>entertainment industry and allows the community as well as tourist <br>to access a complete list of upcoming attractions ,access pp specialize art entertainment industry allow community well tourist access complete list come attraction,4,Provide more opportunities in the city for cultural and heritage groups,4.430441,53.005234
enjoy a fulfilling life through the consumption of art and music <br>,enjoy fulfil life consumption art music,3,"Encourage, support and promote local businesses and artists",-19.480225,17.326685
Incentives given to events that draw many people to the downtown <br>core ,incentive give event draw many people downtown core,1,Support events organized by local groups for the community,32.25678,-3.4250872
Yes-especially so we can be recipients. We are neither an charitable <br>organization or a society ,yesespecially recipient   neither charitable organization society,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-16.334528,-5.5621066
"Need a new theatre, more small performance rooms needed as part <br>of the theatre surrounding area ",need new theatre small performance room need part theatre surround area,1,Support events organized by local groups for the community,31.394505,-3.5018392
More access to large venues at reduced cost for mid-sized events <br>,access large avenue reduce cost midsized event,1,Support events organized by local groups for the community,42.157917,-6.9564466
"Could be best to develop a facility out of the downtown-lots <br>of rooms, a good theatre parking ",would good develop facility downtownlot room good theatre   parking,1,Support events organized by local groups for the community,32.06422,-3.9983206
"Find another option with a stage the size of KCT that <br>large bands jazz concert, etc. can perform adjudication rooms, warm <br>up rooms etc. ",mind another option stage size kct large band jazz   concert etc   perform adjudication room warm room etc  ,1,Support events organized by local groups for the community,11.33524,1.8867548
Mid-sized venues 100-250 are desperately needed in this community ,midsized avenue   desperately need community,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-13.739836,-3.9457655
"Really, we need a facility with several rooms, 2 warm up, <br>2 presentation stage 1 other 2 adjudication rooms. Right now <br>we have to book both KCT and RCA ",really need facility several room warm presentation stage   adjudication room   right book kct rca,1,Support events organized by local groups for the community,55.545204,-20.352976
Mid-size venue away from downtown core would share wealth ,midsize venue away downtown core would share wealth,1,Support events organized by local groups for the community,42.531555,-7.198214
"Cultural events should be reported in the media more. Media should <br>be making connections between citizens, events, and cultural heritage rather <br>than focusing on sensationalism ",cultural event report medium   medium make connection citizen event cultural heritage rather rousing sensationalism,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-37.67261,-10.347043
"More advertising of local musicarts events, cheaper advertising options ",advertising local musicart event cheap advertising option,2,Create more affordable theatres and spaces for artists and small businesses,2.64529,-23.020817
"More on-street advertising digital billboards, etc. ",street advertising digital billboard etc,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-13.819435,-4.3584394
More sponsored events related to core events city could take advantage <br>of festivalsevents by running related events ,sponsored event relate core event city could take advantage festivalsevent run related event,1,Support events organized by local groups for the community,51.544147,-15.218505
Perhaps more places to post events on busy streets- electronic rolling <br>sign? ,perhaps place post event busy street electronic rolling sign,1,Support events organized by local groups for the community,47.987247,-11.163871
More human interest stories related to events-only Shaw does this sometimes <br>daily courier ,human interest story relate eventsonly thaw sometimes daily courier,4,Provide more opportunities in the city for cultural and heritage groups,7.697062,37.888847
So- wed like to include in any meetings so we are <br>in the board ,like include meeting board,3,"Encourage, support and promote local businesses and artists",-17.253128,19.47685
Many events could have a much larger draw if civic advertising <br>could reach out through tourism connections ,event could much large draw civic advertising could reach tourism connection,2,Create more affordable theatres and spaces for artists and small businesses,-10.013012,-42.468506
We need to connect the arts community across the valley ,need connect art community across valley,4,Provide more opportunities in the city for cultural and heritage groups,7.401023,17.633669
"Need to get people to come to our concerts, especially the <br>Jazz Masters Concert, morebetter advertising? ",need get people come concert especially jazz master concert morebetter advertising,2,Create more affordable theatres and spaces for artists and small businesses,-9.283865,-41.176105
There are too many systems at play for advertisement-there is too <br>much division between artssubgenres within the arts ,many system play advertisementthere much division artssubgenre within art,3,"Encourage, support and promote local businesses and artists",-15.534668,18.3726
We need to share resources and ideas for promoting events ,need share resource idea promote event,4,Provide more opportunities in the city for cultural and heritage groups,7.780245,21.382826
"City funding for musicculture is limited to non profit organizations, how <br>about for NGOs? ",city funding musicculture limit non profit organization ngo,2,Create more affordable theatres and spaces for artists and small businesses,-8.834776,-41.41941
Funding is extremely important! Our group is having trouble meeting costs <br>of KCT in particular ,funding extremely important group trouble meeting cost kct particular,3,"Encourage, support and promote local businesses and artists",-31.827965,28.639555
"Concerts about increasing cost of renting KCT, in need of more <br>sponsors- in process of applying for grants and investigating the <br>possibility of being a society so that we are eligible <br>for grants ",concert increase cost rent kct need sponsor process apply grant investigation possibility society eligible grant,2,Create more affordable theatres and spaces for artists and small businesses,-21.427101,-52.617188
The 3 year limit on prebooking facilities-we need to be able <br>to book further into the future-is grandfathering on long-running events <br>possible? ,year limit prebook facility need able book future grandfather longrunning event possible,2,Create more affordable theatres and spaces for artists and small businesses,-15.066086,-47.728226
falling attendance at the Jazz masters concert -used to cover cost <br>of KCT-but covered only 50% in 2018-need to seek out <br>more ways to advertise ,fall attendance jazz master concert use cover cost kctbut cover   need seek way advertise,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-39.948074,-11.130251
"need more venues with several small rooms and a stage, perhaps <br>outside the downtown core-more affordable ",need avenue several small room stage perhaps outside downtown coremore unfordable,1,Support events organized by local groups for the community,9.583729,-6.187989
"Just having a plan. City support is present. Advice and direction. <br>City Affordable is key, for artists and art consumers. Developer <br>contribution regularly. Work on cultural district, can it be organic. <br>Art activation. The cultural plan explicitly to plan strategies. ",  must plan   city support present   advice direction   city unfordable key artist art consumer   developer contribution regularly   work cultural district organic   art motivation   cultural plan explicitly plan strategic,2,Create more affordable theatres and spaces for artists and small businesses,-26.824696,-56.463818
Bylaws consider artists work life spaces. Tax credits to host an <br>artist. Link between cost of living and artist survival. Use <br>different neighborhoods. Street parties - public spaces. Lake country art <br>walk event. ,law consider artist work life space   tax credit host artist   pink cost living artist survival   use different neighborhood   street party   public space   take country art walk event,4,Provide more opportunities in the city for cultural and heritage groups,3.2626512,11.568275
Businesses develop a partnership with events and activities. Thursday nights in <br>cultural district. Businesses Lease space that is vacant could be <br>used as pop up art shop i. e. Vacant hotel. <br>Cultural planner- support the community Arts Council. Encourage businesses as <br>stakeholders in cultural plan creative sector. ,business develop partnership event activity   thursday night cultural district   business ease space vacant could use pop art shop e   vacant hotel   cultural planner support community art council   encourage business slaveholder cultural plan creative sector,2,Create more affordable theatres and spaces for artists and small businesses,-27.454811,-57.00197
Cultural plan helps orgs to identify ways they can support the <br>goal. - General feeling of support of orgs from the <br>City. ,cultural plan help org identify way support goal    general feeling support org city,2,Create more affordable theatres and spaces for artists and small businesses,-15.965782,-47.885628
Culture days free events. Community art funding. Events to include all <br>seasons. Cultural festivals. Indy Festivals Artist performers from BC. Encourage <br>festivals using residents of area - BC Wide. Appreciate Support <br>Encourage multi-cultural ,culture day free event   community art funding   event include season   cultural festival   andy festival artist performer   encourage festival use resident area   side   appreciate support encourage multicultural,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-42.921345,-11.958899
Businesses to support local artists by selling or purchasing local art. <br>Consider local artist for business dxe9cor. Funk-Tional model for local <br>artists. Vancouver cultural crawl - Open studios. Local Gallery store. <br>,business support local artist sell purchase local art   consider local artist business door   funktional model local artist   vancouver cultural crawl   open study   local gallery store,2,Create more affordable theatres and spaces for artists and small businesses,-23.916912,-54.323032
Cultural plan helps orgs to identify ways they can support the <br>goal General feeling of support of orgs from the city <br>,cultural plan help org identify way support goal general feeling support org city,2,Create more affordable theatres and spaces for artists and small businesses,-15.965782,-47.885628
Having a plan Reaching out to diverse groups for feedback ,plan reach diverse group feedback,4,Provide more opportunities in the city for cultural and heritage groups,7.88063,20.973536
Supporting public buildings like the RCA and the Alternator ,support public building like rca alternator,2,Create more affordable theatres and spaces for artists and small businesses,4.0697107,-20.876326
Feelings of support Have cultural plan ,feeling support cultural plan,2,Create more affordable theatres and spaces for artists and small businesses,7.3382845,-19.368769
Culture days Intermission Alter Knowledge ,culture day intermission alter knowledge,1,Support events organized by local groups for the community,20.327593,-1.3792187
Intermission festivals More community art Connected events ,intermission festival community art connect event,4,Provide more opportunities in the city for cultural and heritage groups,7.8178973,24.637419
Open a division to work with cultural experts and supporting all <br>different ethnic groups ,open division work cultural expert support different ethnic group,3,"Encourage, support and promote local businesses and artists",-30.896759,28.16995
Use art to attract under used areas of the community Bylaws <br>and planning to address overall affordability of Kelowna Obligation of <br>developers to contribute to culture ,use art attract use area community law plan address overall affordability kelowna obligation developer contribute culture,2,Create more affordable theatres and spaces for artists and small businesses,-21.976433,-52.892456
Leverage art to accentuate space wallways % of development budgets Consider <br>housing cost and zoning ,beverage art accentuate space always   development budget consider housing cost go,3,"Encourage, support and promote local businesses and artists",-30.712784,28.027592
Extend beyond cultural district By-laws relaxed for artist work live spaces <br>1% of development to public art ,extend beyond cultural district law relax artist work live space   development public art,4,Provide more opportunities in the city for cultural and heritage groups,5.236854,51.13898
Pay what you can events skating rink Summer music in the <br>park ,  may event state risk summer music park,2,Create more affordable theatres and spaces for artists and small businesses,0.5739192,-26.223015
"Additional funding Affordable rental spaces that are communal Arts festivals that <br>are more public, not just hidden in the RCA ",additional funding unfordable rental space communal art festival public hide rca,2,Create more affordable theatres and spaces for artists and small businesses,-17.016832,-48.988194
More community engagement Grants for more programs or events ,community engagement grant program event,2,Create more affordable theatres and spaces for artists and small businesses,4.865258,-21.24574
Presentation Support to promotion Support funds ,presentation support promotion support fund,4,Provide more opportunities in the city for cultural and heritage groups,8.12065,17.980446
Enhance community art events funding Make public spaces more accessible for <br>temporary exhibitions ,enhance community art event funding take public space accessible temporary exhibition,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-37.248554,-10.231452
Promote underused local artists Multicultural services supported by city ,promote undress local artist multicultural service support city,1,Support events organized by local groups for the community,46.640682,-10.4775505
Factor cultural plan goals into org strategies plans ,factor cultural plan goal org strategic plan,2,Create more affordable theatres and spaces for artists and small businesses,0.31480142,-25.216656
Provide space to all levels of artist Create new creative spaces <br>Like the vending machine ,provide space level artist create new creative space like send machine,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-32.486393,-9.234186
Have residencies Paid artist opportunities ,residence say artist opportunity,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-13.762653,-4.0430074
Support local artists in public art instead of out of province <br>or country artists ,support local artist public art instead province country artist,2,Create more affordable theatres and spaces for artists and small businesses,-8.769067,-40.96221
More outreach partnerships Collaborations ,outreach partnership collaboration,2,Create more affordable theatres and spaces for artists and small businesses,8.564947,-19.243143
Give opportunity for festival and art exhibitions ,give opportunity festival art exhibition,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-13.7386,-3.9419072
Developerscommunity contribution Consider ways they can re-operateaddress issues in cultural plan <br>,developerscommunity contribution consider way reoperateaddress issue cultural plan,1,Support events organized by local groups for the community,47.383984,-11.358812
Partnerships with artists Consider cultural interests in new spaces ,partnership artist consider cultural interest new space,2,Create more affordable theatres and spaces for artists and small businesses,4.7651286,-20.34809
More local art in businesses More sponsoring of art events ,local art business sponsoring art event,3,"Encourage, support and promote local businesses and artists",-15.490162,18.762215
"Buy local rather than American distributers Furniture stores, designers, etc. ",buy local rather american distribute furniture store designer etc,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-28.76602,-7.726516
"Reachoutconnect with orgs to express their needs Actually supportattend events Volunteer, <br>get involved ",reachoutconnect org express need actually supportattend event volunteer get involve,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-32.805016,-9.215839
